"filePath","score"
"docs/adopt/cloud-adoption.md","95"
"docs/adopt/index.md","100"
"docs/antipatterns/ready-antipatterns.md","95"
"docs/digital-estate/index.md","96"
"docs/get-started/cloud-concepts.md","97"
"docs/get-started/how-azure-resource-manager-works.md","96"
"docs/get-started/migrate.md","97"
"docs/get-started/whats-new.md","92"
"docs/govern/cloud-service-controls.md","96"
"docs/govern/cost-management/best-practices.md","85"
"docs/govern/guides/complex/cost-management-improvement.md","93"
"docs/govern/guides/complex/resource-consistency-improvement.md","81"
"docs/govern/guides/complex/security-baseline-improvement.md","84"
"docs/govern/guides/standard/multicloud-improvement.md","80"
"docs/govern/guides/standard/multicloud-improvement.md","80"
"docs/govern/guides/standard/multicloud-improvement.md","80"
"docs/govern/guides/standard/prescriptive-guidance.md","97"
"docs/govern/guides/standard/resource-consistency-improvement.md","99"
"docs/govern/guides/standard/security-baseline-improvement.md","88"
"docs/govern/guides/standard/update-custom-policies.md","99"
"docs/govern/identity-baseline/azure-ad-configuration.md","92"
"docs/govern/identity-baseline/business-user-access.md","91"
"docs/govern/methodology.md","93"
"docs/govern/policy-compliance/cloud-security-readiness.md","85"
"docs/govern/policy-compliance/policy-definition.md","95"
"docs/govern/policy-compliance/sustainability-considerations.md","94"
"docs/govern/resource-consistency/business-constraints.md","89"
"docs/govern/resource-consistency/index.md","91"
"docs/govern/resource-consistency/keep-azure-landing-zone-up-to-date.md","95"
"docs/govern/resource-consistency/management-group-structure.md","100"
"docs/govern/resource-consistency/migrate-azure-landing-zone-policies.md","93"
"docs/govern/resource-consistency/naming.md","84"
"docs/govern/resource-consistency/tagging.md","95"
"docs/innovate/ai/ai-applications.md","94"
"docs/innovate/ai/machine-learning.md","95"
"docs/innovate/best-practices/ai-applications.md","96"
"docs/innovate/best-practices/apps.md","91"
"docs/innovate/best-practices/conversational-ai.md","93"
"docs/innovate/best-practices/devices.md","92"
"docs/innovate/best-practices/machine-learning.md","90"
"docs/innovate/best-practices/ml-deployment-inference.md","95"
"docs/innovate/best-practices/mlops-process.md","91"
"docs/innovate/best-practices/set-up-ml-workspaces.md","93"
"docs/innovate/best-practices/trusted-ai.md","94"
"docs/innovate/business-value.md","95"
"docs/innovate/considerations/adoption.md","92"
"docs/innovate/considerations/apps.md","89"
"docs/innovate/considerations/build.md","96"
"docs/innovate/considerations/ci-cd.md","89"
"docs/innovate/considerations/devices.md","96"
"docs/innovate/considerations/learn.md","88"
"docs/innovate/index.md","96"
"docs/innovate/innovation-guide/adoption.md","93"
"docs/innovate/innovation-guide/apps.md","92"
"docs/innovate/innovation-guide/ci-cd.md","92"
"docs/innovate/innovation-guide/devices.md","92"
"docs/innovate/innovation-guide/predict.md","95"
"docs/innovate/kubernetes/application-development.md","97"
"docs/innovate/kubernetes/cluster-application-security.md","85"
"docs/innovate/kubernetes/cluster-design-operations.md","91"
"docs/manage/azure-management-guide/enhanced-baseline.md","91"
"docs/manage/azure-management-guide/inventory.md","94"
"docs/manage/azure-management-guide/operational-compliance.md","97"
"docs/manage/hybrid/server/best-practices/aws-terraform-al2.md","82"
"docs/manage/hybrid/server/best-practices/aws-terraform-ubuntu.md","81"
"docs/manage/hybrid/server/best-practices/gcp-terraform-ubuntu.md","83"
"docs/manage/hybrid/server/best-practices/gcp-terraform-windows.md","84"
"docs/manage/hybrid/server/best-practices/local-vagrant-ubuntu.md","76"
"docs/manage/hybrid/server/best-practices/local-vagrant-windows.md","72"
"docs/manage/hybrid/server/best-practices/onboard-server-linux.md","91"
"docs/manage/hybrid/server/best-practices/onboard-server-windows.md","90"
"docs/manage/hybrid/server/best-practices/vmware-scaled-powercli-linux.md","83"
"docs/manage/hybrid/server/best-practices/vmware-scaled-powercli-windows.md","88"
"docs/manage/hybrid/server/best-practices/vmware-terraform-ubuntu.md","87"
"docs/manage/hybrid/server/best-practices/vmware-terraform-windows.md","87"
"docs/manage/hybrid/server/best-practices/vmware-windows-template.md","90"
"docs/manage/infrastructure-as-code-updates.md","96"
"docs/manage/mlops-machine-learning.md","95"
"docs/manage/monitor/cloud-models-monitor-overview.md","92"
"docs/manage/monitor/data-collection.md","92"
"docs/manage/monitor/index.md","96"
"docs/manage/monitor/observability.md","90"
"docs/manage/monitor/platform-overview.md","90"
"docs/manage/monitor/response.md","87"
"docs/manage/monitor/service-level-objectives.md","77"
"docs/manage/monitor/suggested-skills.md","93"
"docs/manage/operational-fitness-review.md","91"
"docs/migrate/azure-best-practices/analytics/analytics-solutions-exadata.md","92"
"docs/migrate/azure-best-practices/analytics/analytics-solutions-netezza.md","94"
"docs/migrate/azure-best-practices/analytics/analytics-solutions-overview.md","96"
"docs/migrate/azure-best-practices/analytics/analytics-solutions-teradata.md","91"
"docs/migrate/azure-best-practices/analytics/azure-synapse.md","96"
"docs/migrate/azure-best-practices/analytics/schema-migration-ddl.md","86"
"docs/migrate/azure-best-practices/migrate-best-practices-networking.md","97"
"docs/migrate/azure-best-practices/migrate-best-practices-security-management.md","95"
"docs/migrate/azure-best-practices/multiple-regions.md","92"
"docs/migrate/azure-best-practices/tailwind-migration-assess-servers.md","96"
"docs/migrate/azure-best-practices/tailwind-migration-rehost-server-replication.md","84"
"docs/migrate/azure-migration-guide/assess.md","94"
"docs/migrate/azure-migration-guide/assistance.md","88"
"docs/migrate/azure-migration-guide/deploy.md","96"
"docs/migrate/azure-migration-guide/index.md","93"
"docs/migrate/azure-migration-guide/manage-costs.md","89"
"docs/migrate/azure-migration-guide/ready-alz.md","85"
"docs/migrate/azure-migration-guide/release.md","84"
"docs/migrate/index.md","93"
"docs/migrate/migration-considerations/assess/approve.md","78"
"docs/migrate/migration-considerations/assess/architect.md","97"
"docs/migrate/migration-considerations/assess/business-priorities.md","96"
"docs/migrate/migration-considerations/assess/classify.md","94"
"docs/migrate/migration-considerations/assess/estimate.md","93"
"docs/migrate/migration-considerations/assess/evaluate.md","91"
"docs/migrate/migration-considerations/assess/index.md","93"
"docs/migrate/migration-considerations/assess/partnership-options.md","88"
"docs/migrate/migration-considerations/index.md","91"
"docs/migrate/migration-considerations/migrate/promotion-models.md","98"
"docs/migrate/migration-considerations/migrate/remediate.md","85"
"docs/migrate/migration-considerations/migrate/replicate-options.md","100"
"docs/migrate/migration-considerations/migrate/replicate.md","98"
"docs/migrate/migration-considerations/migrate/stage.md","86"
"docs/migrate/migration-considerations/optimize/decommission.md","89"
"docs/migrate/migration-considerations/optimize/optimize.md","83"
"docs/migrate/migration-considerations/optimize/ready.md","88"
"docs/organize/cloud-operations.md","91"
"docs/organize/cloud-security-application-security-devsecops.md","92"
"docs/organize/cloud-security-infrastructure-endpoint.md","86"
"docs/organize/cloud-security-posture-management.md","87"
"docs/organize/cloud-security.md","95"
"docs/organize/cloud-strategy.md","96"
"docs/organize/cost-conscious-organization.md","94"
"docs/organize/index.md","91"
"docs/organize/raci-alignment.md","100"
"docs/plan/contoso-migration-assessment.md","90"
"docs/plan/data-warehouse-migration.md","80"
"docs/plan/initial-org-alignment.md","91"
"docs/plan/plan-sustainability.md","90"
"docs/plan/smart-assessment.md","87"
"docs/plan/suggested-skills.md","94"
"docs/plan/template.md","98"
"docs/plan/workloads.md","91"
"docs/ready/azure-best-practices/ai-machine-learning-enterprise-security.md","98"
"docs/ready/azure-best-practices/ai-machine-learning-mlops.md","94"
"docs/ready/azure-best-practices/ai-machine-learning-resource-organization.md","95"
"docs/ready/azure-best-practices/connectivity-to-azure-paas-services.md","87"
"docs/ready/azure-best-practices/connectivity-to-azure.md","91"
"docs/ready/azure-best-practices/connectivity-to-other-providers-oci.md","92"
"docs/ready/azure-best-practices/connectivity-to-other-providers.md","97"
"docs/ready/azure-best-practices/define-an-azure-network-topology.md","89"
"docs/ready/azure-best-practices/dns-for-on-premises-and-azure-resources.md","90"
"docs/ready/azure-best-practices/hub-spoke-network-topology.md","94"
"docs/ready/azure-best-practices/initial-subscriptions.md","93"
"docs/ready/azure-best-practices/limit-cross-tenant-private-endpoint-connections.md","97"
"docs/ready/azure-best-practices/naming-and-tagging.md","100"
"docs/ready/azure-setup-guide/monitoring-reporting.md","98"
"docs/ready/azure-setup-guide/organize-resources.md","96"
"docs/ready/azure-setup-guide/staying-current.md","84"
"docs/ready/considerations/automation.md","89"
"docs/ready/considerations/development-strategy-development-lifecycle.md","95"
"docs/ready/considerations/development-strategy-test-driven-development.md","86"
"docs/ready/considerations/devops-principles-and-practices.md","91"
"docs/ready/considerations/devops-teams-topologies.md","92"
"docs/ready/considerations/devops-toolchain.md","89"
"docs/ready/considerations/environments.md","95"
"docs/ready/considerations/fundamental-concepts.md","97"
"docs/ready/considerations/infrastructure-as-code.md","95"
"docs/ready/considerations/landing-zone-governance.md","81"
